POIName,Date,Time of Day,Excursion Name,Person 1,Person 2,Person 3,Person 4
Budapest,"Sun, Jul 06",Morning,⭐ Hidden Budapest Tour,,,,
Budapest,"Mon, Jul 07",Full Day,💰 Optional Tour: Puszta & Godollo Tour,,,,
Budapest,"Tue, Jul 08",Morning,⭐ Buda City Tour,,,,
Budapest,"Tue, Jul 08",Morning,🔄 Buda City Late Starter Tour,,,,
Budapest,"Tue, Jul 08",Morning,🔄 Gentle Budapest City Tour,,,,
Budapest,"Tue, Jul 08",Morning,⛰️ Castle Hill Hike,,,,
Budapest,"Tue, Jul 08",Afternoon,⭐ Pest City Tour,,,,
Bratislava,"Wed, Jul 09",Afternoon,"⭐ ""Coronation City"" Walking Tour",,,,
Bratislava,"Wed, Jul 09",Afternoon,Tastes of Slovakia,,,,
Bratislava,"Wed, Jul 09",Afternoon,⛰️ Bratislava Castle Hike,,,,
Vienna,"Thu, Jul 10",Morning,"⭐ ""Imperial Vienna"" Tour",,,,
Vienna,"Thu, Jul 10",Morning,🚴 Vienna City Tour by Bike,,,,
Vienna,"Thu, Jul 10",Evening,💰 Optional Tour: Mozart & Strauss Concert,,,,
Weissenkirchen,"Fri, Jul 11",Morning,⭐ Highlights of Dürnstein and Melk Abbey,,,,
Weissenkirchen,"Fri, Jul 11",Morning,"Dürnstein Walking Tour, Wine Tasting and Apricots and Sweets Tasting",,,,
Weissenkirchen,"Fri, Jul 11",Morning,⛰️ Dürnstein Fortress Hike,,,,
Weissenkirchen,"Fri, Jul 11",Morning,🚴 Weissenkirchen to Melk Bike Tour,,,,
Grein,"Fri, Jul 11",Afternoon,⭐ Exclusive Castle Visit,,,,
Linz,"Sat, Jul 12",Full Day,🔄 Full-Day Salzburg Excursion,,,,
Linz,"Sat, Jul 12",Full Day,⭐ Český Krumlov Excursion & Linz Walking Tour,,,,
Linz,"Sat, Jul 12",Morning,"⭐ ""UNESCO City of Media Arts"" Walking Tour",,,,
Linz,"Sat, Jul 12",Morning,"🚴 ""Cultural Mile"" Bike Tour",,,,
Linz,"Sat, Jul 12",Afternoon,⭐ Distillery Tour,,,,
Passau,"Sun, Jul 13",Morning,"⭐ ""City of Three Rivers"" Walking Tour",,,,
Passau,"Sun, Jul 13",Morning,⛰️ Passau Castle Hike,,,,
Passau,"Sun, Jul 13",Morning,🚴 River Inn Bike Tour,,,,
Vilshofen an der Donau,"Sun, Jul 13",Evening,⭐ Exclusive Oktoberfest Celebration,,,,
Vilshofen an der Donau,"Mon, Jul 14",Full Day,Vilshofen to Prague Transfer & Regensburg Walking Tour,,,,
Prague,"Tue, Jul 15",Morning,"⭐ ""Golden City of a Hundred Spires"" Tour",,,,
Prague,"Tue, Jul 15",Morning,⛰️ Prague Castle Hike,,,,
Prague,"Tue, Jul 15",Afternoon,⭐ Czech Beer Tasting,,,,
Prague,"Tue, Jul 15",Evening,💰 Optional Tour: Folklore Dinner,,,,
Prague,"Wed, Jul 16",Morning,💰 Optional Tour: Terezin,,,,
